title,description,needs_geo_logic,confidence,reasoning,regulations,risk_level,specific_requirements,classified_at
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:36.900949
PF default toggle with NR enforcement for California teens,"As part of compliance with California's SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:36.936850
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:36.970830
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16's removal mechanisms.",True,0.7,Feature contains geo-sensitive elements requiring regional compliance review,EU DSA,medium,Regional compliance review; Local law assessment,2025-08-27T09:25:37.002549
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.057495
Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",True,0.7,Feature contains geo-sensitive elements requiring regional compliance review,EU DSA,medium,Regional compliance review; Local law assessment,2025-08-27T09:25:37.076197
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:37.092331
T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",True,0.7,Feature contains geo-sensitive elements requiring regional compliance review,EU DSA,medium,Regional compliance review; Local law assessment,2025-08-27T09:25:37.114511
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.132519
Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",False,0.8,Feature appears to be geo-agnostic with no apparent compliance requirements,,low,,2025-08-27T09:25:37.157316
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:37.182877
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,False,0.8,Feature appears to be geo-agnostic with no apparent compliance requirements,,low,,2025-08-27T09:25:37.202324
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.221659
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:37.248834
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,True,0.85,"Feature handles personal data or tracking, subject to regional privacy regulations",GDPR; EU DSA; CCPA,medium,Data localization; Privacy consent; Data retention policies,2025-08-27T09:25:37.273951
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.290822
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,False,0.8,Feature appears to be geo-agnostic with no apparent compliance requirements,,low,,2025-08-27T09:25:37.309584
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.325519
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",True,0.7,Feature contains geo-sensitive elements requiring regional compliance review,EU DSA,medium,Regional compliance review; Local law assessment,2025-08-27T09:25:37.349692
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:37.367395
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.386063
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.407699
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,False,0.6,Feature may have geo-compliance implications but appears low-risk based on current description,,low,Monitor for future compliance needs,2025-08-27T09:25:37.425202
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",True,0.7,Feature contains geo-sensitive elements requiring regional compliance review,EU DSA,medium,Regional compliance review; Local law assessment,2025-08-27T09:25:37.442932
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.458479
Minor-safe chat expansion via Jellybean,"We're expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.485800
Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.510299
Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.528785
Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.544595
Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",True,0.9,"Feature involves age verification or minor protection, requiring geo-specific compliance",CA Kids Act; UT Social Media Act; FL Minor Protections; EU DSA,high,Age verification system; Parental consent mechanisms; Minor data protection,2025-08-27T09:25:37.560681
