feature_name,feature_description,entity_detection_confidence,entity_confidence_level,classification_confidence,classification_level,law_matching_confidence,law_matching_level,timestamp,needs_geo_logic,primary_confidence,secondary_confidence,overall_confidence,reasoning,applicable_regulations,risk_assessment,regulatory_requirements,evidence_sources,recommended_actions,detected_locations,detected_ages,pattern_matches,clear_cut_detection,needs_human_review,human_review_reason,intervention_priority,method_used,processing_time_ms
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",1.0,High,1.0,High,0.7000000000000001,Medium,2025-08-31T04:02:12.516959,True,1.0,0.9,1.0,Feature contains explicit compliance indicators (2 matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""Utah Social Media Regulation Act"", ""full_name"": ""Utah minor protection legislation"", ""jurisdiction"": ""Utah"", ""relevance"": ""high"", ""reason"": ""Utah jurisdiction with social media context""}]",low,Curfew enforcement for minors; Parental notification systems,Pattern matching: 2 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,Utah,"minor, under 18","{""high_confidence"": 2, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 2}",True,False,,medium,rule_based_pattern_matching,1.759052276611328
PF default toggle with NR enforcement for California teens,"As part of compliance with California's SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",1.0,High,1.0,High,0.75,High,2025-08-31T04:02:12.517488,True,1.0,0.9,1.0,Feature contains explicit compliance indicators (2 matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""SB976"", ""full_name"": ""California Age-Appropriate Design Code Act"", ""jurisdiction"": ""California"", ""relevance"": ""high"", ""reason"": ""Explicit SB976 mention""}]",low,Standard platform policies apply,Pattern matching: 2 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,California,under 18,"{""high_confidence"": 2, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 2}",True,False,,medium,rule_based_pattern_matching,0.3330707550048828
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",1.0,High,1.0,High,1.0,High,2025-08-31T04:02:12.518125,True,1.0,0.9,1.0,Feature contains explicit compliance indicators (1 matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""COPPA"", ""full_name"": ""US Children's Online Privacy Protection Act"", ""jurisdiction"": ""US"", ""relevance"": ""high"", ""reason"": ""US jurisdiction with children context""}, {""name"": ""US Federal NCMEC Reporting"", ""full_name"": ""US Federal law requiring NCMEC reporting"", ""jurisdiction"": ""US"", ""relevance"": ""critical"", ""reason"": ""Child abuse content reporting requirements""}, {""name"": ""Child Safety Regulations"", ""full_name"": ""Child online safety and content filtering requirements"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Child safety content filtering requires compliance with minor protection laws""}]",critical,Parental consent for users under 13; Limited data collection from minors,Pattern matching: 2 matches,Implement geo-location detection; Configure region-specific feature flags; Prioritize legal review; Implement additional safeguards,US,child,"{""high_confidence"": 1, ""medium_confidence"": 1, ""location_indicators"": 1, ""age_indicators"": 1}",True,False,,high,rule_based_pattern_matching,0.5612373352050781
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16's removal mechanisms.",0.65,Medium,1.0,High,0.7000000000000001,Medium,2025-08-31T04:02:12.518486,True,0.65,0.5850000000000001,0.65,Feature contains explicit compliance indicators (1 matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""GDPR"", ""full_name"": ""EU General Data Protection Regulation"", ""jurisdiction"": ""EU"", ""relevance"": ""high"", ""reason"": ""EU jurisdiction requires GDPR compliance for data processing""}]",low,Age verification for users under 16; Parental consent mechanisms,Pattern matching: 1 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,EU,,"{""high_confidence"": 1, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 0}",True,False,,medium,rule_based_pattern_matching,0.3080368041992187
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",1.0,High,1.0,High,0.7000000000000001,Medium,2025-08-31T04:02:12.518799,True,0.8,0.7200000000000001,0.8,Feature contains explicit compliance indicators (1 matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""Florida Online Protections for Minors"", ""full_name"": ""Florida minor protection law"", ""jurisdiction"": ""Florida"", ""relevance"": ""high"", ""reason"": ""Florida jurisdiction with minor protection context""}]",low,Standard platform policies apply,Pattern matching: 1 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,Florida,minor,"{""high_confidence"": 1, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 1}",True,False,,medium,rule_based_pattern_matching,0.2751350402832031
Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.519097,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.2660751342773437
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.519305,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1459121704101562
T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",0.2,Low,0.6,Medium,0.6,Medium,2025-08-31T04:02:12.519530,False,0.3,0.2700000000000001,0.3,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""Regional Data Protection Laws"", ""full_name"": ""Regional data protection and privacy regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Regional targeting requires local data protection compliance""}]",low,Standard platform policies apply,Pattern matching: 1 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 1, ""location_indicators"": 0, ""age_indicators"": 0}",False,True,Moderate confidence requires human validation,low,rule_based_pattern_matching,0.1828670501708984
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",0.2,Low,0.55,Low,0.6,Medium,2025-08-31T04:02:12.519739,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1518726348876953
Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.519870,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.089883804321289
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.520100,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1442432403564453
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.520281,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1430511474609375
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.520439,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1211166381835937
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.520584,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1158714294433593
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.520723,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1096725463867187
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",0.65,Medium,0.55,Low,0.7000000000000001,Medium,2025-08-31T04:02:12.520861,False,0.25,0.225,0.25,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""GDPR"", ""full_name"": ""EU General Data Protection Regulation"", ""jurisdiction"": ""EU"", ""relevance"": ""high"", ""reason"": ""EU jurisdiction requires GDPR compliance for data processing""}]",low,Age verification for users under 16; Parental consent mechanisms,Pattern matching: 0 matches,Standard feature deployment process,EU,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1118183135986328
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,0.8500000000000001,High,0.55,Low,0.65,Medium,2025-08-31T04:02:12.521068,False,0.25,0.225,0.25,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""PIPEDA"", ""full_name"": ""Personal Information Protection and Electronic Documents Act"", ""jurisdiction"": ""Canada"", ""relevance"": ""medium"", ""reason"": ""Canadian jurisdiction requires PIPEDA compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,"California, Canada",,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1111030578613281
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",1.0,High,0.55,Low,0.6,Medium,2025-08-31T04:02:12.521235,False,0.4,0.36,0.4,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""Regional Data Protection Laws"", ""full_name"": ""Regional data protection and privacy regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Regional targeting requires local data protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,"US, California",,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 2, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1358985900878906
Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",0.65,Medium,0.75,Medium,0.6,Medium,2025-08-31T04:02:12.521367,True,0.4499999999999999,0.4049999999999999,0.4499999999999999,Feature shows geographic restrictions with compliance context (1 compliance + 1 location matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""Regional Data Protection Laws"", ""full_name"": ""Regional data protection and privacy regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Regional targeting requires local data protection compliance""}]",low,Standard platform policies apply,Pattern matching: 1 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,US,,"{""high_confidence"": 0, ""medium_confidence"": 1, ""location_indicators"": 1, ""age_indicators"": 0}",False,True,Moderate confidence requires human validation,medium,rule_based_pattern_matching,0.0929832458496093
South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,0.2,Low,0.55,Low,0.65,Medium,2025-08-31T04:02:12.521506,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""South Korea PIPA"", ""full_name"": ""Personal Information Protection Act"", ""jurisdiction"": ""South Korea"", ""relevance"": ""medium"", ""reason"": ""South Korean jurisdiction requires PIPA compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1080036163330078
Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",0.8999999999999999,High,0.55,Low,0.6,Medium,2025-08-31T04:02:12.521684,True,0.4,0.36,0.4,Feature targets specific age groups in specific locations (1 age + 1 location matches) suggesting geo-specific compliance logic is required.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Implement geo-location detection; Configure region-specific feature flags; Standard feature deployment process,US,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 1, ""age_indicators"": 1}",False,False,,medium,rule_based_pattern_matching,0.14495849609375
Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",0.2,Low,0.55,Low,0.3,Low,2025-08-31T04:02:12.521875,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],medium,Standard platform policies apply,Pattern matching: 0 matches,Consider legal consultation; Document compliance approach,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1611709594726562
Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,0.2,Low,0.55,Low,0.3,Low,2025-08-31T04:02:12.522136,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.2260208129882812
Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",0.2,Low,0.6,Medium,0.6,Medium,2025-08-31T04:02:12.522443,False,0.3,0.2700000000000001,0.3,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""Regional Data Protection Laws"", ""full_name"": ""Regional data protection and privacy regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Regional targeting requires local data protection compliance""}]",low,Standard platform policies apply,Pattern matching: 1 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 1, ""location_indicators"": 0, ""age_indicators"": 0}",False,True,Moderate confidence requires human validation,low,rule_based_pattern_matching,0.2140998840332031
User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,0.2,Low,0.55,Low,0.8,High,2025-08-31T04:02:12.522621,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,[],low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.1437664031982422
Minor-safe chat expansion via Jellybean,"We're expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",0.65,Medium,0.55,Low,0.6,Medium,2025-08-31T04:02:12.522906,False,0.25,0.225,0.25,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,minor,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 1}",False,False,,low,rule_based_pattern_matching,0.1802444458007812
Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",0.7,Medium,0.55,Low,0.6,Medium,2025-08-31T04:02:12.523141,False,0.4,0.36,0.4,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 2}",False,False,,low,rule_based_pattern_matching,0.1838207244873047
Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",0.65,Medium,0.55,Low,0.6,Medium,2025-08-31T04:02:12.523425,False,0.25,0.225,0.25,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,minor,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 1}",False,False,,low,rule_based_pattern_matching,0.2031326293945312
Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.",0.2,Low,0.55,Low,0.6,Medium,2025-08-31T04:02:12.523881,False,0.1,0.09,0.1,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 0}",False,False,,low,rule_based_pattern_matching,0.2679824829101562
Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",0.45,Low,0.55,Low,0.6,Medium,2025-08-31T04:02:12.524097,False,0.25,0.225,0.25,Feature appears to be business-focused without clear regulatory requirements indicating no specialized geo-compliance logic needed.,"[{""name"": ""General Minor Protection Laws"", ""full_name"": ""Various age-appropriate design and safety regulations"", ""jurisdiction"": ""Multiple"", ""relevance"": ""medium"", ""reason"": ""Age-related functionality requires minor protection compliance""}]",low,Standard platform policies apply,Pattern matching: 0 matches,Standard feature deployment process,,,"{""high_confidence"": 0, ""medium_confidence"": 0, ""location_indicators"": 0, ""age_indicators"": 1}",False,False,,low,rule_based_pattern_matching,0.1649856567382812
